DataAcc	runID	sampleID	figS4E_j	figS4E_o	figS4E_0905		bname
151C_rerunS20	151C_rerun	S20					NP15064C-H202_S20_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
151C_rerunS19	151C_rerun	S19					NP15064C_S19_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
194CS15	194C	S15					INPUT-ATH_S15_Ath-TAIR10_RPKM.bw
192CS19	192C	S19					INPUT-9_S19_Ath-TAIR10_RPKM.bw
151C_rerunS21	151C_rerun	S21					INPUT-503_S21_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
186CS23	186C	S23					INPUT-423_S23_RPKM.bw
186CS22	186C	S22					INPUT-408_S22_RPKM.bw
151C_rerunS22	151C_rerun	S22					INPUT-205_S22_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
174CS21	174C	S21					HRE-Chr14-Potri014G126100-PCR5-168C_S21_raw_bowtie2_PopTremAlba_nomixed_sorted_rmdup_picard_genomenorm.bw
182CS12	182C	S12					HDAC-HA-27C_S12_RPKM.bw
182CS11	182C	S11					HDAC-HA-22C_S11_RPKM.bw
189CS19	189C	S19					HDAC-27-4DAG_S19_RPKM.bw
165CS9	165C	S9					gPHYB-myc-phyB-9-hos1-3-1460-Zt10-27C_S9_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
165CS8	165C	S8					gPHYB-myc-phyB-9-hos1-3-1460-ZT10-17C_S8_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
165CS7	165C	S7					gPHYB-myc-phyB-9-control-for-1460-1461-ZT10-27C_S7_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_genomenorm.bw
